Evento,KE,px,py,pz,x,y,z
608,743699,-0.239903,0.92264,-0.301964,57.2482,477,-321.185,
610,0.0669168,-0.81018,0.214898,0.545369,-60.7786,349.755,477,
611,6.98094e+06,0.0452146,0.894368,0.445042,22.043,477,238.084,
615,374266,0.467824,-0.863597,0.18799,1.61924,137.943,477,
617,155453,0.234122,-0.803544,-0.54727,256.027,-477,-247.555,
621,0.0193905,0.915025,-0.377382,-0.14252,477,318.784,366.24,
632,4.07144,0.260173,0.877506,0.402856,128.047,477,-2.5363,
633,803390,-0.667932,0.528753,-0.523724,-57.9625,-153.564,-477,
637,0.0883734,-0.0927892,0.259107,0.961381,-93.2197,-345.823,477,
639,2.43176e+06,0.342745,0.928111,-0.145385,477,176.248,-314.989,
642,5.24237e+06,-0.00537291,-0.566131,0.824298,-17.4581,-16.0084,477,
656,0.0408843,-0.719717,0.673159,0.169891,-477,16.11,-30.2929,
658,5.77676e+06,-0.025812,-0.395336,-0.918174,-16.2633,-206.212,-477,
661,0.0550992,-0.778468,0.318486,0.540883,-477,242.873,-343.416,
663,145093,0.891096,0.266945,-0.366999,477,-382.614,247.572,
664,6.5936e+06,0.988856,-0.117133,0.0918936,477,-19.3389,127.984,
665,0.0166608,-0.953017,-0.294155,0.0723339,-477,-167.719,-96.6814,
666,410422,-0.841948,-0.513,0.167195,-477,148.141,238.774,
667,0.122471,0.759088,-0.650527,0.0244794,201.024,-477,6.30861,
673,1.04224e+06,0.259189,-0.786173,0.561028,-46.8648,-477,160.826,
679,0.102538,-0.996605,0.0506526,0.0648993,-477,293.084,-24.1215,
680,0.0615138,0.502975,0.287107,0.815221,86.6987,-63.4473,477,
684,2.21091,0.131494,-0.929791,0.3438,-423.14,-477,-59.4365,
686,0.0424939,0.817688,0.108688,-0.565308,477,118.25,-361.961,
687,4.95893e+06,0.901585,-0.0701034,0.426885,477,-149.909,220.592,
688,6.19142e+06,0.138304,-0.741097,-0.656999,-113.829,-463.604,-477,
697,0.0670807,-0.138834,0.89495,-0.424016,383.168,70.5213,-477,
701,4.60521e+06,-0.284698,-0.958399,0.0204564,-150.109,-477,46.079,
