Energy,XS
105700.0,0.622894
105705.0,0.430019
105710.0,0.280651
105713.0,0.196403
105715.0,0.14517
105717.0,0.107653
105719.0,0.0794791
105720.0,0.0598211
105722.0,0.0442704
105723.0,0.0341192
105725.0,0.0261818
105726.0,0.0200519
105728.0,0.015375
105729.0,0.0118453
105730.0,0.00933164
105732.0,0.0073397
105733.0,0.00600947
105735.0,0.00478149
105736.0,0.00390423
105738.0,0.00327272
105740.0,0.00269839
105742.0,0.00225378
105745.0,0.00189691
105749.0,0.00157864
105753.0,0.00130703
105759.0,0.00106647
105766.0,8.8558E-4
105773.0,7.29038E-4
105783.0,5.95209E-4
105794.0,4.82844E-4
105805.0,4.01572E-4
105818.0,3.36966E-4
105833.0,2.82292E-4
105852.0,2.35615E-4
105874.0,1.97493E-4
105901.0,1.67933E-4
105932.0,1.45442E-4
105976.0,1.25029E-4
106025.0,1.11177E-4
106096.0,9.92919E-5
106178.0,9.17408E-5
106260.0,8.67196E-5
106477.0,8.00479E-5
106912.0,7.48773E-5
108000.0,7.03978E-5
109523.0,6.8515E-5
110938.0,7.09964E-5
111917.0,7.73748E-5
112570.0,8.62936E-5
113092.0,9.88451E-5
113527.0,1.16341E-4
113832.0,1.35508E-4
114093.0,1.59651E-4
114310.0,1.88508E-4
114484.0,2.20789E-4
114658.0,2.65549E-4
114811.0,3.20817E-4
114941.0,3.86602E-4
115072.0,4.78593E-4
115181.0,5.8681E-4
115279.0,7.22097E-4
115366.0,8.88345E-4
115442.0,0.00108729
115518.0,0.00136131
115583.0,0.00168513
115648.0,0.00213125
115703.0,0.00263786
115757.0,0.00331657
115812.0,0.00422353
115871.0,0.00553346
115984.0,0.00843323
116016.0,0.00900044
116051.0,0.00922458
116095.0,0.00887463
116153.0,0.00757924
116250.0,0.00505768
116311.0,0.00385236
116365.0,0.00303899
116420.0,0.00243191
116481.0,0.00192913
116549.0,0.00152622
116617.0,0.00123448
116698.0,9.81827E-4
116780.0,7.99839E-4
116875.0,6.46015E-4
116984.0,5.20566E-4
117101.0,4.24344E-4
117215.0,3.55788E-4
117346.0,2.97524E-4
117509.0,2.44852E-4
117705.0,2.00562E-4
117922.0,1.66391E-4
118183.0,1.37971E-4
118488.0,1.154E-4
118836.0,9.79738E-5
119239.0,8.44697E-5
119750.0,7.28424E-5
120403.0,6.34123E-5
121273.0,5.566E-5
122579.0,4.89883E-5
124319.0,4.4201E-5
127148.0,4.04975E-5
130847.0,3.89372E-5
131717.0,3.89085E-5
136504.0,4.06274E-5
140421.0,4.45054E-5
143902.0,5.0743E-5
146078.0,5.69329E-5
147383.0,6.26622E-5
148036.0,6.8241E-5
148396.0,7.32385E-5
148609.0,7.80552E-5
148823.0,8.4883E-5
149001.0,9.51776E-5
149143.0,1.08184E-4
149250.0,1.24229E-4
149339.0,1.45672E-4
149407.0,1.69292E-4
149463.0,1.99182E-4
149512.0,2.36179E-4
149554.0,2.82563E-4
149590.0,3.3911E-4
149622.0,4.10569E-4
149650.0,4.98935E-4
149672.0,5.92415E-4
149695.0,7.25938E-4
149714.0,8.86099E-4
149731.0,0.00108005
149745.0,0.00130764
149760.0,0.00163316
149772.0,0.00200293
149784.0,0.00249365
149793.0,0.00308776
149802.0,0.00379925
149810.0,0.0047282
149816.0,0.0057256
149822.0,0.00708039
149826.0,0.008701
149830.0,0.0106592
149834.0,0.0128939
149837.0,0.0158495
149839.0,0.0195821
149842.0,0.0247927
149845.0,0.0314653
149847.0,0.0398712
149849.0,0.0509812
149852.0,0.0654664
149854.0,0.0845752
149857.0,0.1132
149860.0,0.154087
149864.0,0.216189
149870.0,0.349313
149876.0,0.46905
149881.0,0.528848
149885.0,0.550627
149889.0,0.530646
149894.0,0.466741
149906.0,0.215253
149910.0,0.155707
149913.0,0.116113
149916.0,0.0855801
149918.0,0.0662508
149921.0,0.0503265
149923.0,0.0399253
149925.0,0.0319331
149928.0,0.0249748
149930.0,0.0204269
149933.0,0.0165297
149936.0,0.013303
149939.0,0.0110232
149943.0,0.00896792
149948.0,0.00738183
149953.0,0.00604129
149959.0,0.00488733
149966.0,0.00399197
149975.0,0.00324123
149984.0,0.00262575
149995.0,0.00212815
150005.0,0.00176424
150020.0,0.00141339
150034.0,0.00116285
150050.0,9.55936E-4
150070.0,7.70876E-4
150094.0,6.19399E-4
150119.0,5.06407E-4
150149.0,4.10928E-4
150179.0,3.4482E-4
150218.0,2.83969E-4
150264.0,2.35423E-4
150314.0,1.99228E-4
150374.0,1.70409E-4
150426.0,1.51979E-4
150513.0,1.31549E-4
150626.0,1.15117E-4
150756.0,1.038E-4
150895.0,9.65137E-5
151172.0,8.90399E-5
151589.0,8.53295E-5
151866.0,8.46708E-5
153393.0,9.07582E-5
155336.0,1.06764E-4
157279.0,1.3018E-4
159083.0,1.61679E-4
160609.0,1.99592E-4
161997.0,2.48237E-4
163246.0,3.10029E-4
164357.0,3.87446E-4
165328.0,4.81169E-4
166161.0,5.91049E-4
166993.0,7.40988E-4
167826.0,9.4989E-4
168520.0,0.00119005
169214.0,0.00150805
169991.0,0.001984
171601.0,0.00318842
172209.0,0.00343157
172378.0,0.00344672
172933.0,0.00332303
173655.0,0.00286191
174932.0,0.00188739
175667.0,0.00145689
176292.0,0.00117967
176986.0,9.48484E-4
177679.0,7.84225E-4
178373.0,6.71916E-4
178928.0,6.23867E-4
179206.0,6.19651E-4
179518.0,6.42827E-4
179761.0,6.97455E-4
179935.0,7.78287E-4
180073.0,8.81775E-4
180195.0,0.00103123
180282.0,0.00119438
180351.0,0.00137312
180420.0,0.00164001
180481.0,0.00195224
180533.0,0.00234062
180585.0,0.00289377
180630.0,0.00358383
180667.0,0.00437439
180698.0,0.00530834
180729.0,0.00660711
180755.0,0.00810058
180777.0,0.00985757
180798.0,0.0120767
180818.0,0.0149178
180835.0,0.0184119
180852.0,0.0231746
180868.0,0.0290912
180881.0,0.0361282
180896.0,0.0463885
180910.0,0.0598276
180926.0,0.0805286
180953.0,0.121188
180964.0,0.131824
180974.0,0.135921
180985.0,0.131628
181000.0,0.115643
181030.0,0.071165
181044.0,0.0547382
181057.0,0.0434227
181071.0,0.0339714
181085.0,0.0274786
181099.0,0.0222915
181115.0,0.0181022
