Energy,XS
298478.0,1.48324
298607.0,1.4511
298828.0,1.51047
299000.0,1.59641
299062.0,1.5992
299124.0,1.59882
300000.0,1.68551
301316.0,1.55802
301559.0,1.53998
301787.0,1.57343
301919.0,1.66729
301995.0,1.79854
302043.0,1.95358
302097.0,2.25073
302132.0,2.58647
302164.0,3.05052
302189.0,3.6279
302211.0,4.34805
302232.0,5.3561
302260.0,7.09108
302287.0,8.88581
302307.0,9.71101
302315.0,9.79822
302331.0,9.50418
302354.0,8.25302
302391.0,5.74764
302414.0,4.5724
302436.0,3.75088
302460.0,3.1342
302484.0,2.70611
302519.0,2.29132
302563.0,1.95274
302640.0,1.57084
302649.0,1.55486
302657.0,1.58928
302665.0,1.70139
302673.0,1.93733
302679.0,2.26741
302688.0,2.902
302702.0,3.93052
302711.0,4.28283
302714.0,4.32695
302722.0,4.20628
302734.0,3.61747
302748.0,2.8036
302758.0,2.41342
302768.0,2.17488
302782.0,2.00015
302809.0,1.83731
302851.0,1.72348
302918.0,1.63156
303100.0,1.53638
303546.0,1.49756
304000.0,1.51018
310604.0,1.42156
311000.0,1.41938
313386.0,1.46147
313688.0,1.51996
313831.0,1.62207
313906.0,1.75124
313963.0,1.9558
314002.0,2.2176
314032.0,2.57012
314052.0,2.9471
314069.0,3.4434
314086.0,4.15018
314100.0,5.04203
314111.0,6.12182
314124.0,7.65114
314140.0,10.2032
314161.0,13.9571
314174.0,15.4243
314181.0,15.6566
314191.0,15.1948
314205.0,13.4173
314234.0,8.29998
314248.0,6.46186
314260.0,5.28949
314272.0,4.44017
314287.0,3.71087
314302.0,3.20803
314322.0,2.75465
314347.0,2.39215
314378.0,2.11442
314418.0,1.90072
314459.0,1.7659
314555.0,1.60677
314674.0,1.52016
315016.0,1.43831
316486.0,1.3759
320000.0,1.33528
321000.0,1.33673
322394.0,1.33225
322832.0,1.3522
322940.0,1.40844
322980.0,1.47944
323003.0,1.56707
323021.0,1.71161
323033.0,1.88644
323043.0,2.14554
323050.0,2.46035
323057.0,2.87424
323064.0,3.54516
323072.0,4.4759
323082.0,6.15622
323095.0,8.47906
323103.0,9.43238
323110.0,9.74993
323117.0,9.46794
323126.0,8.38861
323147.0,4.91672
323155.0,3.81527
323162.0,3.09639
323170.0,2.60845
323178.0,2.25515
323188.0,1.97206
323199.0,1.80041
323216.0,1.64585
323242.0,1.52709
323269.0,1.46569
323362.0,1.38289
323640.0,1.33557
327750.0,1.27777
338737.0,1.13365
339000.0,1.13387
339546.0,1.11594
340000.0,1.1367
340240.0,1.11751
340472.0,1.14365
340626.0,1.20978
340780.0,1.34854
340896.0,1.53794
340992.0,1.79711
341069.0,2.15866
341146.0,2.67979
341208.0,3.26078
341267.0,4.03191
341324.0,5.09076
341379.0,6.4823
341428.0,8.22415
341489.0,11.0317
341572.0,15.2674
341601.0,16.253
341632.0,16.667
341670.0,16.1421
341723.0,14.0021
341813.0,9.6464
341867.0,7.64341
341917.0,6.23126
341975.0,5.06702
342033.0,4.2468
342091.0,3.66176
342168.0,3.1204
342264.0,2.68456
342360.0,2.41026
342515.0,2.16075
342669.0,2.0407
342939.0,1.98189
342969.0,1.98216
343700.0,1.61568
343793.0,1.54371
343806.0,1.58735
343816.0,1.7101
343825.0,1.95766
343836.0,2.43595
343851.0,3.11893
343860.0,3.31475
343862.0,3.32364
343870.0,3.20219
343884.0,2.68435
343896.0,2.2149
343906.0,1.96811
343914.0,1.83535
343933.0,1.71392
343978.0,1.63862
344123.0,1.57341
345000.0,1.4534
347972.0,1.33714
357000.0,1.1778
358552.0,1.16717
359132.0,1.18185
359559.0,1.25024
359683.0,1.31693
359747.0,1.41129
359789.0,1.55929
359808.0,1.69135
359827.0,1.92162
359839.0,2.18144
359852.0,2.59231
359863.0,3.13356
359876.0,4.02147
359898.0,5.79447
359907.0,6.31296
359916.0,6.46022
359924.0,6.30423
359934.0,5.70086
359962.0,3.47451
359973.0,2.80905
359984.0,2.355
359995.0,2.03499
360010.0,1.77744
360029.0,1.59152
360057.0,1.44738
360107.0,1.33692
360195.0,1.26656
360508.0,1.20597
361903.0,1.12961
362896.0,1.1082
363386.0,1.14956
363637.0,1.22171
363765.0,1.31152
363847.0,1.42398
363907.0,1.57033
363955.0,1.76703
363995.0,2.0428
364027.0,2.40003
364051.0,2.80907
364073.0,3.38661
364092.0,4.11384
364109.0,5.00335
364126.0,6.29921
